State,District_Name,Crop_Year,Season,Crop,Area,Production,P/A
Uttar Pradesh,DEORIA,1,Kharif     ,Bajra,1170,1974,1.687179487
Uttar Pradesh,DEORIA,2,Kharif     ,Bajra,542,860,1.586715867
Uttar Pradesh,DEORIA,3,Kharif     ,Bajra,407,726,1.783783784
Uttar Pradesh,DEORIA,4,Kharif     ,Bajra,379,635,1.675461741
Uttar Pradesh,DEORIA,5,Kharif     ,Bajra,244,343,1.405737705
Uttar Pradesh,DEORIA,6,Kharif     ,Bajra,278,417,1.5
Uttar Pradesh,DEORIA,7,Kharif     ,Bajra,352,521,1.480113636
Uttar Pradesh,DEORIA,8,Kharif     ,Bajra,314,543,1.729299363
Uttar Pradesh,DEORIA,9,Kharif     ,Bajra,488,766,1.569672131
Uttar Pradesh,DEORIA,10,Kharif     ,Bajra,468,755,1.613247863
Uttar Pradesh,DEORIA,11,Kharif     ,Bajra,454,708,1.559471366
Uttar Pradesh,DEORIA,12,Kharif     ,Bajra,113,195,1.725663717
Uttar Pradesh,DEORIA,13,Kharif     ,Bajra,239,408,1.707112971
Uttar Pradesh,DEORIA,14,Kharif     ,Bajra,286,490,1.713286713
Uttar Pradesh,DEORIA,15,Kharif     ,Bajra,156,318,2.038461538
Uttar Pradesh,DEORIA,16,Kharif     ,Bajra,50,104,2.08
Uttar Pradesh,DEORIA,17,Kharif     ,Bajra,213,440,2.0657277
Uttar Pradesh,DEORIA,18,Kharif     ,Bajra,164,315,1.920731707
