State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,P/A
Uttar Pradesh,DEORIA,1,Rabi       ,Wheat,130934,301647,2.303809553
Uttar Pradesh,DEORIA,2,abi       ,Wheat,137653,326272,2.370249831
Uttar Pradesh,DEORIA,3,Rabi       ,Wheat,134676,359141,2.666703793
Uttar Pradesh,DEORIA,4,Rabi       ,Wheat,139398,387008,2.776280865
Uttar Pradesh,DEORIA,5,Rabi       ,Wheat,142765,374727,2.624781984
Uttar Pradesh,DEORIA,6,Rabi       ,Wheat,141432,307774,2.176127043
Uttar Pradesh,DEORIA,7,Rabi       ,Wheat,147656,378573,2.563884976
Uttar Pradesh,DEORIA,8,Rabi       ,Wheat,147932,350355,2.368351675
Uttar Pradesh,DEORIA,9,Rabi       ,Wheat,151399,330807,2.185001222
Uttar Pradesh,DEORIA,10,Rabi       ,Wheat,126116,316501,2.509602271
Uttar Pradesh,DEORIA,11,Rabi       ,Wheat,146212,402668,2.75400104
Uttar Pradesh,DEORIA,12,Rabi       ,Wheat,152129,413334,2.716996759
Uttar Pradesh,DEORIA,13,Rabi       ,Wheat,147477,374592,2.540002848
Uttar Pradesh,DEORIA,14,Rabi       ,Wheat,148681,440839,2.96499889
Uttar Pradesh,DEORIA,15,Rabi       ,Wheat,148224,456975,3.083002753
Uttar Pradesh,DEORIA,16,Rabi       ,Wheat,155756,483934,3.107000693
Uttar Pradesh,DEORIA,17,Rabi       ,Wheat,156285,472628,3.024141792
Uttar Pradesh,DEORIA,18,Rabi       ,Wheat,155105,291133,1.877005899
