State,District_Name,Crop_Year,Season,Crop,Area,Production,P/A
Uttar Pradesh,HATHRAS,1,Kharif     ,Bajra,35535,65771,1.850879415
Uttar Pradesh,HATHRAS,2,Kharif     ,Bajra,36744,53351,1.451964947
Uttar Pradesh,HATHRAS,3,Kharif     ,Bajra,37806,54592,1.444003597
Uttar Pradesh,HATHRAS,4,Kharif     ,Bajra,47279,83773,1.771886038
Uttar Pradesh,HATHRAS,5,Kharif     ,Bajra,44273,40381,0.912090891
Uttar Pradesh,HATHRAS,6,Kharif     ,Bajra,37065,69334,1.870605693
Uttar Pradesh,HATHRAS,7,Kharif     ,Bajra,45512,79405,1.744704693
Uttar Pradesh,HATHRAS,8,Kharif     ,Bajra,48713,82667,1.697021329
Uttar Pradesh,HATHRAS,9,Kharif     ,Bajra,43426,71262,1.64099848
Uttar Pradesh,HATHRAS,10,Kharif     ,Bajra,46411,74490,1.605007434
Uttar Pradesh,HATHRAS,11,Kharif     ,Bajra,42988,74842,1.740997488
Uttar Pradesh,HATHRAS,12,Kharif     ,Bajra,47052,69448,1.475984018
Uttar Pradesh,HATHRAS,13,Kharif     ,Bajra,37786,67108,1.776001694
Uttar Pradesh,HATHRAS,14,Kharif     ,Bajra,45450,80583,1.7730033
Uttar Pradesh,HATHRAS,15,Kharif     ,Bajra,43593,79252,1.817998302
Uttar Pradesh,HATHRAS,16,Kharif     ,Bajra,45388,86373,1.90299198
Uttar Pradesh,HATHRAS,17,Kharif     ,Bajra,45373,82760,1.823992242
Uttar Pradesh,HATHRAS,18,Kharif     ,Bajra,36688,80604,2.197012647
