State,District_Name,Crop_Year,Season,Crop,Area,Production,P/A
Uttar Pradesh,HATHRAS,1,Rabi       ,Wheat,83956,282738,3.367692601
Uttar Pradesh,HATHRAS,2,Rabi       ,Wheat,82530,279550,3.38725312
Uttar Pradesh,HATHRAS,3,Rabi       ,Wheat,84433,303250,3.591605178
Uttar Pradesh,HATHRAS,4,Rabi       ,Wheat,99205,342160,3.449019707
Uttar Pradesh,HATHRAS,5,Rabi       ,Wheat,96473,296188,3.070164709
Uttar Pradesh,HATHRAS,6,Rabi       ,Wheat,93992,313339,3.333677334
Uttar Pradesh,HATHRAS,7,Rabi       ,Wheat,92938,297247,3.198336525
Uttar Pradesh,HATHRAS,8,Rabi       ,Wheat,92265,280353,3.038562835
Uttar Pradesh,HATHRAS,9,Rabi       ,Wheat,81572,255076,3.127004364
Uttar Pradesh,HATHRAS,10,Rabi       ,Wheat,85405,238280,2.790000585
Uttar Pradesh,HATHRAS,11,Rabi       ,Wheat,82596,253983,3.075003632
Uttar Pradesh,HATHRAS,12,Rabi       ,Wheat,77916,226813,2.910993891
Uttar Pradesh,HATHRAS,13,Rabi       ,Wheat,85579,237824,2.778999521
Uttar Pradesh,HATHRAS,14,Rabi       ,Wheat,80230,243177,3.03099838
Uttar Pradesh,HATHRAS,15,Rabi       ,Wheat,86515,290777,3.361000982
Uttar Pradesh,HATHRAS,16,Rabi       ,Wheat,76850,275584,3.585998699
Uttar Pradesh,HATHRAS,17,Rabi       ,Wheat,79227,308906,3.898999079
Uttar Pradesh,HATHRAS,18,Rabi       ,Wheat,82134,191947,2.336998076
