State,District_Name,Crop_Year,Season,Crop,Area,Production
Uttar Pradesh,AGRA,1997,Kharif     ,Bajra,99898,147994
Uttar Pradesh,AGRA,1998,Kharif     ,Bajra,98533,146550
Uttar Pradesh,AGRA,1999,Kharif     ,Bajra,101129,171623
Uttar Pradesh,AGRA,2000,Kharif     ,Bajra,103220,145099
Uttar Pradesh,AGRA,2001,Kharif     ,Bajra,107560,120855
Uttar Pradesh,AGRA,2002,Kharif     ,Bajra,97178,154781
Uttar Pradesh,AGRA,2003,Kharif     ,Bajra,105629,150139
Uttar Pradesh,AGRA,2004,Kharif     ,Bajra,99841,195144
Uttar Pradesh,AGRA,2005,Kharif     ,Bajra,93316,130728
Uttar Pradesh,AGRA,2006,Kharif     ,Bajra,100918,139647
Uttar Pradesh,AGRA,2007,Kharif     ,Bajra,90360,113188
Uttar Pradesh,AGRA,2008,Kharif     ,Bajra,102227,160619
Uttar Pradesh,AGRA,2009,Kharif     ,Bajra,105576,166055
Uttar Pradesh,AGRA,2010,Kharif     ,Bajra,121219,214773
Uttar Pradesh,AGRA,2011,Kharif     ,Bajra,141624,298933
Uttar Pradesh,AGRA,2012,Kharif     ,Bajra,115946,248945
Uttar Pradesh,AGRA,2013,Kharif     ,Bajra,118294,284151
Uttar Pradesh,AGRA,2014,Kharif     ,Bajra,118146,246736
Uttar Pradesh,ALIGARH,1997,Kharif     ,Bajra,73168,135408
Uttar Pradesh,ALIGARH,1998,Kharif     ,Bajra,72087,87299
Uttar Pradesh,ALIGARH,1999,Kharif     ,Bajra,75196,130908
Uttar Pradesh,ALIGARH,2000,Kharif     ,Bajra,82995,137685
Uttar Pradesh,ALIGARH,2001,Kharif     ,Bajra,82749,106726
Uttar Pradesh,ALIGARH,2002,Kharif     ,Bajra,75675,116690
Uttar Pradesh,ALIGARH,2003,Kharif     ,Bajra,85570,133287
Uttar Pradesh,ALIGARH,2004,Kharif     ,Bajra,80644,150165
Uttar Pradesh,ALIGARH,2005,Kharif     ,Bajra,88563,153564
Uttar Pradesh,ALIGARH,2006,Kharif     ,Bajra,83772,143837
Uttar Pradesh,ALIGARH,2007,Kharif     ,Bajra,83559,159847
Uttar Pradesh,ALIGARH,2008,Kharif     ,Bajra,81069,165785
Uttar Pradesh,ALIGARH,2009,Kharif     ,Bajra,79532,144032
Uttar Pradesh,ALIGARH,2010,Kharif     ,Bajra,92970,184452
Uttar Pradesh,ALIGARH,2011,Kharif     ,Bajra,82175,158680
Uttar Pradesh,ALIGARH,2012,Kharif     ,Bajra,91309,227816
Uttar Pradesh,ALIGARH,2013,Kharif     ,Bajra,86298,269595
Uttar Pradesh,ALIGARH,2014,Kharif     ,Bajra,84037,175469
Uttar Pradesh,ALLAHABAD,1997,Kharif     ,Bajra,33276,28575
Uttar Pradesh,ALLAHABAD,1998,Kharif     ,Bajra,33750,31544
Uttar Pradesh,ALLAHABAD,1999,Kharif     ,Bajra,27470,41093
Uttar Pradesh,ALLAHABAD,2000,Kharif     ,Bajra,31635,18582
Uttar Pradesh,ALLAHABAD,2001,Kharif     ,Bajra,34497,31800
Uttar Pradesh,ALLAHABAD,2002,Kharif     ,Bajra,33925,30208
Uttar Pradesh,ALLAHABAD,2003,Kharif     ,Bajra,31062,18895
Uttar Pradesh,ALLAHABAD,2004,Kharif     ,Bajra,28913,27768
Uttar Pradesh,ALLAHABAD,2005,Kharif     ,Bajra,26262,31190
Uttar Pradesh,ALLAHABAD,2006,Kharif     ,Bajra,28913,26470
Uttar Pradesh,ALLAHABAD,2007,Kharif     ,Bajra,27672,31793
Uttar Pradesh,ALLAHABAD,2008,Kharif     ,Bajra,30254,31348
Uttar Pradesh,ALLAHABAD,2009,Kharif     ,Bajra,27862,26116
Uttar Pradesh,ALLAHABAD,2010,Kharif     ,Bajra,24615,24873
Uttar Pradesh,ALLAHABAD,2011,Kharif     ,Bajra,26651,25310
Uttar Pradesh,ALLAHABAD,2012,Kharif     ,Bajra,28879,26474
Uttar Pradesh,ALLAHABAD,2013,Kharif     ,Bajra,27065,19786
Uttar Pradesh,ALLAHABAD,2014,Kharif     ,Bajra,25672,17773
Uttar Pradesh,AMBEDKAR NAGAR,1997,Kharif     ,Bajra,142,147
Uttar Pradesh,AMBEDKAR NAGAR,1998,Kharif     ,Bajra,28,35
Uttar Pradesh,AMBEDKAR NAGAR,1999,Kharif     ,Bajra,34,52
Uttar Pradesh,AMBEDKAR NAGAR,2000,Kharif     ,Bajra,76,118
Uttar Pradesh,AMBEDKAR NAGAR,2001,Kharif     ,Bajra,478,601
Uttar Pradesh,AMBEDKAR NAGAR,2002,Kharif     ,Bajra,40,55
Uttar Pradesh,AMBEDKAR NAGAR,2003,Kharif     ,Bajra,73,100
Uttar Pradesh,AMBEDKAR NAGAR,2004,Kharif     ,Bajra,41,64
Uttar Pradesh,AMBEDKAR NAGAR,2005,Kharif     ,Bajra,78,122
Uttar Pradesh,AMBEDKAR NAGAR,2006,Kharif     ,Bajra,34,51
Uttar Pradesh,AMBEDKAR NAGAR,2007,Kharif     ,Bajra,11,17
Uttar Pradesh,AMBEDKAR NAGAR,2008,Kharif     ,Bajra,27,45
Uttar Pradesh,AMBEDKAR NAGAR,2009,Kharif     ,Bajra,16,27
Uttar Pradesh,AMBEDKAR NAGAR,2010,Kharif     ,Bajra,17,17
Uttar Pradesh,AMBEDKAR NAGAR,2011,Kharif     ,Bajra,193,367
Uttar Pradesh,AMBEDKAR NAGAR,2012,Kharif     ,Bajra,8,7
Uttar Pradesh,AMBEDKAR NAGAR,2013,Kharif     ,Bajra,53,51
Uttar Pradesh,AMBEDKAR NAGAR,2014,Kharif     ,Bajra,14,17
Uttar Pradesh,AMETHI,2010,Kharif     ,Bajra,550,645
Uttar Pradesh,AMETHI,2011,Kharif     ,Bajra,1010,1918
Uttar Pradesh,AMETHI,2012,Kharif     ,Bajra,486,410
Uttar Pradesh,AMETHI,2013,Kharif     ,Bajra,773,736
Uttar Pradesh,AMETHI,2014,Kharif     ,Bajra,159,196
Uttar Pradesh,AMROHA,1997,Kharif     ,Bajra,7118,6018
Uttar Pradesh,AMROHA,1998,Kharif     ,Bajra,6836,4771
Uttar Pradesh,AMROHA,1999,Kharif     ,Bajra,6260,4137
Uttar Pradesh,AMROHA,2000,Kharif     ,Bajra,6801,6129
Uttar Pradesh,AMROHA,2001,Kharif     ,Bajra,5637,7533
Uttar Pradesh,AMROHA,2002,Kharif     ,Bajra,5228,2129
Uttar Pradesh,AMROHA,2003,Kharif     ,Bajra,5116,3368
Uttar Pradesh,AMROHA,2004,Kharif     ,Bajra,4194,3903
Uttar Pradesh,AMROHA,2005,Kharif     ,Bajra,5857,4586
Uttar Pradesh,AMROHA,2006,Kharif     ,Bajra,4194,2897
Uttar Pradesh,AMROHA,2007,Kharif     ,Bajra,2214,2188
Uttar Pradesh,AMROHA,2008,Kharif     ,Bajra,3550,3632
Uttar Pradesh,AMROHA,2009,Kharif     ,Bajra,4030,3663
Uttar Pradesh,AMROHA,2010,Kharif     ,Bajra,4115,3177
Uttar Pradesh,AMROHA,2011,Kharif     ,Bajra,2674,2238
Uttar Pradesh,AMROHA,2012,Kharif     ,Bajra,3953,2241
Uttar Pradesh,AMROHA,2013,Kharif     ,Bajra,3375,1914
Uttar Pradesh,AMROHA,2014,Kharif     ,Bajra,4172,4310
Uttar Pradesh,AURAIYA,1997,Kharif     ,Bajra,23806,37853
Uttar Pradesh,AURAIYA,1998,Kharif     ,Bajra,24025,39118
Uttar Pradesh,AURAIYA,1999,Kharif     ,Bajra,23213,38765
Uttar Pradesh,AURAIYA,2000,Kharif     ,Bajra,24378,35068
