State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Uttar Pradesh,AGRA,1997,Kharif     ,Groundnut,27,22
Uttar Pradesh,AGRA,1998,Kharif     ,Groundnut,20,16
Uttar Pradesh,AGRA,1999,Kharif     ,Groundnut,9,7
Uttar Pradesh,AGRA,2000,Kharif     ,Groundnut,7,6
Uttar Pradesh,AGRA,2001,Kharif     ,Groundnut,6,5
Uttar Pradesh,AGRA,2003,Kharif     ,Groundnut,1,1
Uttar Pradesh,AGRA,2004,Kharif     ,Groundnut,3,2
Uttar Pradesh,AGRA,2008,Kharif     ,Groundnut,4,3
Uttar Pradesh,AGRA,2009,Kharif     ,Groundnut,8,5
Uttar Pradesh,AGRA,2010,Kharif     ,Groundnut,3,3
Uttar Pradesh,AGRA,2011,Kharif     ,Groundnut,3,3
Uttar Pradesh,AGRA,2012,Kharif     ,Groundnut,10,10
Uttar Pradesh,ALIGARH,1998,Kharif     ,Groundnut,2,2
Uttar Pradesh,ALIGARH,1999,Kharif     ,Groundnut,3,3
Uttar Pradesh,ALIGARH,2000,Kharif     ,Groundnut,1,1
Uttar Pradesh,ALIGARH,2002,Kharif     ,Groundnut,3,2
Uttar Pradesh,ALIGARH,2004,Kharif     ,Groundnut,2,2
Uttar Pradesh,ALIGARH,2007,Kharif     ,Groundnut,2,1
Uttar Pradesh,ALIGARH,2008,Kharif     ,Groundnut,9,7
Uttar Pradesh,ALIGARH,2009,Kharif     ,Groundnut,8,5
Uttar Pradesh,ALIGARH,2010,Kharif     ,Groundnut,6,6
Uttar Pradesh,ALIGARH,2011,Kharif     ,Groundnut,14,14
Uttar Pradesh,ALIGARH,2012,Kharif     ,Groundnut,33,33
Uttar Pradesh,ALIGARH,2013,Kharif     ,Groundnut,70,63
Uttar Pradesh,ALIGARH,2014,Kharif     ,Groundnut,11,10
Uttar Pradesh,ALLAHABAD,2000,Kharif     ,Groundnut,5,4
Uttar Pradesh,ALLAHABAD,2001,Kharif     ,Groundnut,2,2
Uttar Pradesh,ALLAHABAD,2003,Kharif     ,Groundnut,2,1
Uttar Pradesh,AMBEDKAR NAGAR,1997,Kharif     ,Groundnut,41,33
